,meal_type,name,url,image_url,alt,description
1397,main-course,Beef & Guinness stew with bacon dumplings,/recipes/beef-guinness-stew-bacon-dumplings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/beef-guinness-stew-with-bacon-dumplings-aa2860a.jpg?quality=90&resize=93,85",Beef & Guinness stew with bacon dumplings served in a casserole dish,"Cosy-up this winter with a hearty stew. This beef and stout casserole really packs in the flavour, and comes served with delicious bacon dumplings, cabbage and mash"
1398,main-course,Turkey burger with sweet potato wedges,/recipes/lean-turkey-burger-sweet-potato-wedges,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/turkey-burger-and-wedges-50dcf23.jpg?quality=90&resize=93,85",Turkey burger on a plate with sweet potato wedges and broccoli,This healthy turkey burger recipe makes an easy meal for two. Try serving with vibrant green veg and sweet potato wedges for a filling dinner
1399,main-course,Baked cauliflower pizzaiola,/recipes/baked-cauliflower-pizzaiola,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/baked-cauliflower-pizzaiola-6c85002-scaled.jpg?quality=90&resize=93,85",Baked cauliflower pizzaiola,There’s no need to make a tomato sauce for this Italian-style vegetarian one-pot – the oven will do the work for you
1400,main-course,Tomato & chorizo risotto,/recipes/tomato-chorizo-risotto,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tomato-chorizo-risotto-0aed64e.jpg?quality=90&resize=93,85",Tomato & chorizo risotto,"A truly easy weeknight dinner, this rice dish is like a simple paella or jambalaya - add broad beans or sweetcorn for extra colour"
1401,main-course,Quiche Lorraine,/recipes/quiche-lorraine,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/quiche_lorraine-2f00c0e.jpg?quality=90&resize=93,85",Quiche Lorraine on a plate outside,This all-time favourite is perfect for a relaxed picnic with friends – serve with a crisp green salad
1402,main-course,Creamy beetroot risotto,/recipes/creamy-beetroot-risotto,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-327885_10-cef0e78.jpg?quality=90&resize=93,85",Creamy beetroot risotto,"This vivid risotto is simply baked in the oven, so there's no need to spend lots of time at the stove stirring"
1403,main-course,Lamb kleftiko,/recipes/lamb-kleftiko,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/kleftiko-51d10b9.jpg?quality=90&resize=93,85",Lamb kleftiko,"Seal a leg of lamb in a parcel then roast it long and slow with garlic, lemon, herbs and potatoes to soak up the delicious juices"
1404,main-course,Zesty haddock with crushed potatoes & peas,/recipes/zesty-haddock-crushed-potatoes-peas,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-516487_12-72fb12b.jpg?quality=90&resize=93,85",Zesty haddock with crushed potatoes & peas,"Being pushed for time doesn't mean you have to eat unhealthily, as this quick and low-fat fish supper proves"
1405,main-course,Braised beef with red wine & cranberry,/recipes/braised-beef-red-wine-cranberry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-513516_10-1f77f50.jpg?quality=90&resize=93,85",Braised beef with red wine & cranberry,"This lovely seasonal dish can be left to bubble away, filling the kitchen with comforting aromas and the promise of supper"
1406,main-course,Slow cooker pulled pork,/recipes/slow-cooker-pulled-pork,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/slow-cooker-pulled-pork-62d174f.jpg?quality=90&resize=93,85",Slow cooker pulled pork in a burger bun,Succulent pulled pork spiced with paprika and cinnamon is oh-so simple when you make it in the slow cooker. Serve with fennel and apple slices in bread rolls
1407,main-course,Sticky onion & cheddar quiche,/recipes/sticky-onion-cheddar-quiche,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-9872_11-4b49408.jpg?quality=90&resize=93,85",Sticky onion & cheddar quiche,"A crisp pastry case and a just-set creamy filling, quiche is a good solution to any meal dilemma from dinner parties, suppers, picnics and even afternoon tea"
1408,main-course,Slow cooker spiced root & lentil casserole,/recipes/slow-cooker-spiced-root-lentil-casserole,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/slow-cooker-3c6fa95.jpg?quality=90&resize=93,85",Slow cooker spiced root and lentil casserole served in a casserole dish,Warm up on chilly days with this vegetarian slow-cooker stew. It's great for freezing and reheating for midweek meals
1409,main-course,Easy beef hotpot,/recipes/easy-beef-hotpot,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-52267_11-6aba81b.jpg?quality=90&resize=93,85",A casserole dish of beef hotpot,Stretch a pack of mince to make this hearty dish. It's perfect eaten straight from the bowl with a spoon and some crusty bread on a cold winter's night
1410,main-course,Oven-baked Thai chicken rice,/recipes/oven-baked-thai-chicken-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-52168_11-499690c.jpg?quality=90&resize=93,85",Oven-baked Thai chicken rice,"A fuss-free family meal that will you'll want to make again and again, with a lovely coconut taste"
1411,main-course,Smoky pulled aubergine & black bean tacos,/recipes/smoky-pulled-aubergine-black-bean-tacos,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/aubergine_tacos-71e6008.jpg?quality=90&resize=93,85",Smoky pulled aubergine & black bean tacos in a dish,"These summery veggie tacos are filled with a charred, smoky aubergine and black bean ragu, topped with creamy feta and crunchy pink pickled onions. They also contain four of your 5-a-day – bonus!"
1412,main-course,Turkey meatloaf,/recipes/turkey-meatloaf,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/turkey-meatloaf-65a4867-scaled.jpg?quality=90&resize=93,85",Turkey meatloaf,"Use ground turkey to lighten up this comforting American classic - a low fat, low calorie dinner that the whole family will love"
1413,main-course,Quick and easy pasta salad,/recipes/deli-pasta-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-338583_11-1796dd4.jpg?quality=90&resize=93,85",Bowl of Mediterranean tomato and basil pasta salad,Make this simple storecupboard pasta salad with sunny Mediterranean-style flavours like sundried tomatoes and basil. Pack it up for lunch the next day.
1414,main-course,Sweet potato and coconut soup,/recipes/speedy-sweet-potato-soup-coconut,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-338728_11-1ed1b41.jpg?quality=90&resize=93,85","Bowl of sweet potato and coconut soup, topped with coriander","Blitz up this simple vegan soup in just 20 minutes for a quick lunch or starter. Sweet potatoes, coconut and Thai green curry paste make for a flavourful combination, best enjoyed with warm naan bread"
1415,main-course,One-pan lamb with hasselback potatoes,/recipes/one-pan-lamb-hasselback-potatoes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/hassleback_roast_lamb-33583c1.jpg?quality=90&resize=93,85",Carved roast lamb with hasselback potatoes on the side served on a wooden platter,"Enhance the flavour of roast lamb with herbs and garlic, or you could try slices of anchovy, slivers of chilli or nuggets of feta pushed into the slits"
1416,main-course,Paella in the oven,/recipes/paella-oven,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/paella-ab5dea5.jpg?quality=90&resize=93,85",Paella served in a casserole dish,"Try this foolproof way of cooking paella in the oven. You can adapt it according to what you have in the fridge – in this case, chicken, chorizo and prawns"
1417,main-course,Mini lentil shepherd’s pies,/recipes/mini-lentil-shepherds-pies,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mini-lentil-shepherds-pies-6ff8ccb.jpg?quality=90&resize=93,85",A mini lentil shepherd’s pie served in a small casserole dish,Make these mini veggie shepherd's pies ahead and freeze them for a nutritious family supper when you're pushed for time. They contain three of your 5-a-day
1418,main-course,Roast pumpkin & spinach lasagne,/recipes/roast-pumpkin-spinach-lasagne,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-328013_12-2cd259e.jpg?quality=90&resize=93,85",Roast pumpkin & spinach lasagne,"Nothing is as comforting as a rich creamy lasagne and the sweet, earthy flavours of this veggie classic are well worth the effort"
1419,main-course,Harissa sticky chicken with couscous,/recipes/harissa-sticky-chicken-couscous,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sticky-chicken-f99fe05.jpg?quality=90&resize=93,85",Harissa sticky chicken with couscous 2016,No chickpeas in the cupboard? Use cannellini or kidney beans in this easy chicken dish with fragrant coriander couscous and a spicy harissa paste glaze
1420,main-course,Lemony chicken stew with giant couscous,/recipes/lemony-chicken-stew-giant-couscous,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/lemony-chicken-stew-with-giant-couscous-e50fd3b.jpg?quality=90&resize=93,85",Lemony chicken stew with giant couscous,This healthy Moroccan-style one-pot can be slow-cooked and dished up at different times - ideal for busy households
1421,main-course,Chicken tagine with spiced brussels sprouts & feta,/recipes/chicken-tagine-spiced-brussels-feta,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tagine-0fb6a87.jpg?quality=90&resize=93,85",Chicken tagine with spiced Brussels sprouts & feta 2016,"Joe Wicks’ tasty sprout recipe balances earthy, sweet and spicy flavours, using tender chicken thighs, chickpeas and cheese for a hearty festive stew"
1422,main-course,Linguine with garlic butter prawns,/recipes/linguine-garlic-butter-prawns,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/linguine-with-garlic-butter-prawns-d79972f.jpg?quality=90&resize=93,85",Linguine with garlic butter prawns,"This simple pasta dish with king prawns, garlic, lemon and parsley makes a speedy weeknight seafood supper"
1423,main-course,Sausage & squash risotto,/recipes/golden-squash-sausage-risotto,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/golden-squash-sausage-risotto-19fce14.jpg?quality=90&resize=93,85",Golden squash & sausage risotto,"Sneak more veg into kids' diets with this easy, tasty rice dish - mash the sweet butternut squash if your little one doesn't like bits"
1424,main-course,Feta & kale loaded sweet potato,/recipes/feta-and-kale-loaded-sweet-potato,"https://images.immediate.co.uk/production/volatile/sites/30/2018/02/feta-kale-sweet-potato-92ade52.jpg?quality=90&resize=93,85",Feta & kale sweet potato,"Serve up this sweet potato packed with feta, chickpeas and kale for a healthy lunch. Topped with pumpkin seeds, it delivers three of your 5-a-day"
1425,main-course,Meatball stroganoff,/recipes/meatball-stroganoff,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/meatball-stroganoff-f01ae1c.jpg?quality=90&resize=93,85",Meatball stroganoff,"Transform beef mince into a comforting Russian-style meatball stew with mushrooms, paprika and soured cream"
1426,main-course,Spanish pork shoulder steaks with beans,/recipes/spanish-pork-beans,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/spanish-pork-with-beans-1-440-400-fa401cd.jpg?quality=90&resize=93,85",A bowl of bean stew topped with lean pork steak,"Providing all five of your 5-a-day, this flavour-packed butterbean stew pairs perfectly with lean pork shoulder steaks – perfect to enjoy after a workout"
1427,main-course,Moroccan meatball tagine with lemon & olives,/recipes/moroccan-meatball-tagine-lemon-olives,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-871475_11-009f344.jpg?quality=90&resize=93,85",Moroccan meatball tagine with lemon & olives,A wonderfully aromatic North African lamb casserole with a citrus tang - great for dinner parties
1428,main-course,Quick chicken chasseur,/recipes/quick-chicken-chasseur,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-513564_10-759d8b1.jpg?quality=90&resize=93,85",Quick chicken chasseur,"A classic in a flash, you can also use beef. Either way - it's a winner"
1429,main-course,"Chicken, leek & mushroom pies",/recipes/chicken-leek-mushroom-pies,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chicken-leek-mushroom-pie-ed89c18.jpg?quality=90&resize=93,85","A chicken, leek & mushroom pie","Make these creamy chicken, leek and mushroom pies from scratch or use up leftover roast chicken and make a stock from the bones. They require a little extra effort, but they're worth it"
1430,main-course,Beer mac 'n' cheese,/recipes/beer-mac-n-cheese,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/beer-mac-n-cheese-465a83b.jpg?quality=90&resize=93,85",Beer mac 'n' cheese,"A staple of Manhattan's East Village, Emma Freud's cheddar and pale ale pasta dish is the ultimate comfort food"
1431,main-course,Slow cooker beef curry,/recipes/home-style-beef-curry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/home-style-beef-curry-0907fd9.jpg?quality=90&resize=93,85",Beef curry in dish with spoon with rice and naan bread,This slow-cooked beef curry is easy to make and perfect for feeding the family – add chunks of potato for an extra hearty dish. Serve with rice and naan bread
1432,main-course,"Aubergine, tomato & Parmesan bake (Melanzane alla Parmigiana)",/recipes/aubergine-tomato-parmesan-bake-melanzane-alla-parmigiana,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-327515_12-8b5f770.jpg?quality=90&resize=93,85","Aubergine, tomato & Parmesan bake (Melanzane alla Parmigiana)",Every Italian cook has their own version of this classic aubergine dish. It's even better made a day ahead
1433,main-course,Greek-style roast chicken,/recipes/greek-style-roast-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/greek-style-roast-chicken-abb3ca6.jpg?quality=90&resize=93,85",Greek-style roast chicken,"This easy Greek recipe with potatoes, olives and feta can be made in one pot - use skin-on thighs for the most succulent roast chicken"
1434,main-course,Fragrant pork & rice one-pot,/recipes/fragrant-pork-rice-one-pot,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-513741_11-e67a159.jpg?quality=90&resize=93,85",Fragrant pork & rice one-pot,"Deliciously spiced pork meatballs and rice are simmered together in this stew, saving on washing-up"
1435,main-course,Lamb & apricot stew,/recipes/lamb-apricot-stew,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-837503_11-4744c1d.jpg?quality=90&resize=93,85",Lamb & apricot stew,A fruity and warming Middle Eastern tagine to be served with couscous and herbs - a speedy casserole with plenty of flavour
1436,main-course,Roast pork with crackling,/recipes/herb-studded-roast-loin-pork-apple-cider-gravy,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1163555_11-e51acdc.jpg?quality=90&resize=93,85",Herb-studded roast loin of pork with apple & cider gravy,This classic roast pork recipe with lots of delicious crackling is great for Sunday lunch with the family. Top with our tasty apple & cider gravy
1437,main-course,"One-pan spaghetti with nduja, fennel & olives",/recipes/one-pan-spaghetti-nduja-fennel-olives,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/one-pan-spaghetti-with-nduja-fennel-olives-2308fb3.jpg?quality=90&resize=93,85","One-pan spaghetti with nduja, fennel & olives","A spicy sausage pasta dish with a difference. Using the cooking water helps the sauce cling to the pasta and gives the dish more body. A silky smooth sauce, perfect pasta and one pan to wash!"
1438,main-course,Pork cassoulet,/recipes/jacks-pork-cassoulet,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pork-cassoulet-0876da1.jpg?quality=90&resize=93,85",Pork cassoulet,"Perfect for using up stray bits and pieces from the fridge, this pork and bean stew is rich, warming and cheap to prepare"
1439,main-course,Lighter chicken tacos,/recipes/lighter-chicken-tacos,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/lighter-chicken-tacos-b95f484.jpg?quality=90&resize=93,85",Lighter chicken tacos,"The same tasty Mexican dish with half the fat of standard tacos. Pile on the chicken, salsa and guacamole, and build yourself a delicious dinner"
1440,main-course,Cheesy leek & bacon pasta,/recipes/cheesy-leek-bacon-pasta,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1259456_8-0ecbc59.jpg?quality=90&resize=93,85",Cheesy leek & bacon pasta,"A creamy and comforting quick pasta recipe, ideal for when you're short on time"
1441,main-course,"Pea, pesto & sausage lasagne",/recipes/pea-pesto-sausage-lasagne,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pea-pesto-sausage-lasagne-1292087.jpg?quality=90&resize=93,85","Pea, pesto & sausage lasagne","Switch up your classic family lasagne with pesto, broccoli, mascarpone and chunks of sausage in a dish that's rich in calcium, folate, fibre and vitamin C"
1442,main-course,Roast aubergine with goulash sauce & sweet potato fries,/recipes/roast-aubergine-goulash-sauce-sweet-potato-fries,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/aubergine-goulash-0686f26.jpg?quality=90&resize=93,85",Aubergine goulash with spinach and sweet potato fries in bowl,"Try aubergine for a filling veggie meal worthy of Sunday lunch. Teamed with a goulash sauce and sweet potato chips, you can pack in all five of your 5-a-day"
1443,main-course,Basic shortcrust pastry,/recipes/basic-shortcrust-pastry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-559694_11-7a3f18f.jpg?quality=90&resize=93,85",Shortcrust pastry on a rolling pin covering a pasty,"Learn how to make perfect shortcrust pastry every time with our easy recipe. For best results, make sure the butter is cold"
1444,main-course,Coq au vin,/recipes/coq-au-vin,"https://images.immediate.co.uk/production/volatile/sites/30/2012/01/coq-au-vin-3740fe3.jpg?quality=90&resize=93,85",Coq au vin in dish,"We've made this classic French chicken casserole a little lighter than the traditional version, but it still has a rich, deep flavour"
1445,main-course,Chicken & chorizo traybake,/recipes/chicken-chorizo-traybake,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-874467_11-dd54fac.jpg?quality=90&resize=93,85",Chicken & chorizo traybake,Gutsy Mediterranean flavours make this spin on roast chicken and chips a really satisfying midweek supper
1446,main-course,Lamb shank madras,/recipes/lamb-shank-madras,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/lamb-shank-madras-895f79d.jpg?quality=90&resize=93,85",A casserole dish serving Lamb shank madras,"While it takes time, this hearty one-pot lamb curry is easy and you can make it two days in advance for even better flavour. Serve with naan bread and rice"
1447,main-course,Halloumi aubergine burgers with harissa relish,/recipes/halloumi-aubergine-burgers-harissa-relish,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-983468_11-377ed8d.jpg?quality=90&resize=93,85",Halloumi aubergine burgers with harissa relish,A veggie stack with a difference - flavour your fried cheese with Moroccan harissa paste and creamy hummus
1448,main-course,"Moroccan lamb with apricots, almonds & mint",/recipes/moroccan-lamb-apricots-almonds-mint,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/li113816spring10-2187bb2.jpg?quality=90&resize=93,85","Moroccan lamb with apricots, almonds & mint in black pot",This hearty and healthy stew is perfect to share with your friends and family
1449,main-course,Creamy masala chicken,/recipes/creamy-masala-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-52447_10-2da88ae.jpg?quality=90&resize=93,85",Creamy masala chicken,A mild chicken curry with oodles of flavour
1450,main-course,Ginger chicken,/recipes/ginger-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-5116_11-a42028a.jpg?quality=90&resize=93,85",Ginger chicken,"This zingy curry is must-make recipe and only takes 50 minutes, fresher than your local take away and much healthier too"
1451,main-course,"Sausage, roasted veg & puy lentil one-pot",/recipes/sausage-roasted-veg-puy-lentil-one-pot,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sausage-roasted-veg-puy-lentil-one-pot-30c9c33.jpg?quality=90&resize=93,85","A plate serving sausage, roasted veg & puy lentil one pot","This one-pot wonder delivers three of your five-a-day and makes a fuss-free dinner solution on a busy day. With sausages, lentils and veg, it's filling too"
1452,main-course,Next level chilli con carne,/recipes/next-level-chilli-con-carne,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/the-ultimate-chilli-edb1c8c.jpg?quality=90&resize=93,85","A bowl of chilli con carne garnished with chopped avocado, red onion and coriander","Reinvent this classic comfort food with our one-pan version that is enrichened with peanut butter, espresso powder and dark chocolate. You won't look back"
1453,main-course,Smoked paprika paella with cod & peas,/recipes/smoked-paprika-paella-cod-peas,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/smoked-paprika-paella-with-cod-peas-ed11502.jpg?quality=90&resize=93,85",Smoked paprika paella with cod & peas in a pot,"Cod is a great source of stress-busting B vitamins and magnesium, so why not enjoy this easy peasy paella that's also packed with three of your five-a-day, iron, folate and fibre"
1454,main-course,Next level mac 'n' cheese,/recipes/macaroni-cheese-marmite,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/macaroni-cheese-251d55c.jpg?quality=90&resize=93,85",A casserole dish serving mac 'n' cheese with Marmite,"Make this granddaddy of pasta bakes with the salty tang of yeast extract, plus mustard and evaporated milk. This is macaroni cheese with added oomph"
1455,main-course,Paella mixta,/recipes/paella-mixta,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/paella-837f12c.jpg?quality=90&resize=93,85",Paella mixta in a large frying pan,"Try our version of paella, made with a combination of meat and seafood. With king prawns, mussels, chorizo and chicken, every forkful is a treat that's reminiscent of Spanish holidays"
1456,main-course,Five-spice pork fillet with fried rice,/recipes/chinese-style-pork-fillet-fried-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-781476_11-d048cc3.jpg?quality=90&resize=93,85",Chinese-style pork fillet with fried rice,"A low-fat family favourite with tender pork that's simple to make, a great mid-week meal"
1457,main-course,One-pan prawn pilau,/recipes/one-pan-prawn-pilau,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-338957_11-6e5fbcf.jpg?quality=90&resize=93,85",One-pan prawn pilau,Make an exotic meal without fuss with this one-pan prawn pilau
1458,main-course,Chana masala,/recipes/chana-masala,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chana-masala-fb809bc.jpg?quality=90&resize=93,85",A bowl filled with chana masala - chickpea curry,"Serve this vegetarian Indian chickpea curry as a main meal or side dish. It's gluten-free, good for you and freezable so you can save any leftovers."
1459,main-course,Vietnamese lamb shanks with sweet potatoes,/recipes/vietnamese-lamb-shanks-sweet-potatoes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1079567_11-b575fc1.jpg?quality=90&resize=93,85",Vietnamese lamb shanks with sweet potatoes,"Meltingly tender and full of classic Asian flavours, these lamb shanks are perfect for freezing "
1460,main-course,Next level spaghetti Bolognese,/recipes/next-level-spaghetti-bolognese,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/spaghetti-bolognese-1130fa2.jpg?quality=90&resize=93,85",A pan serving spaghetti Bolognese,Ramp up your usual spaghetti Bolognese with this recipe which throws in a few unorthodox methods and ingredients to deliver the ultimate pasta dish
1461,main-course,Roasted aubergine with chilli peanut dressing,/recipes/roasted-aubergine-chilli-peanut-dressing,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/roasted-aubergine-with-chilli-peanut-dressing-9f2ded0.jpg?quality=90&resize=93,85",Roasted aubergine with chilli peanut dressing served on a plate,Switch up your routine on weeknights with this Asian-inspired vegan dish with roasted aubergine and chilli peanut dressing.
1462,main-course,Fruity Caribbean curry,/recipes/fruity-caribbean-curry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/fruity-caribbean-chicken-curry-de9973d.jpg?quality=90&resize=93,85",Fruity Caribbean curry,Kidney beans and veg make chicken drumsticks go further with this sweet and hot curry - pack in 4 of your 5 a day in a filling family meal
1463,main-course,Vegetarian wellington,/recipes/vegetarian-wellington,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/vegetarian-wellington-db87aaa.jpg?quality=90&resize=93,85",Vegetarian wellington served on a plate,"Create a vegetarian centrepiece with this meat-free wellington with beetroot, mushroom and butternut squash wrapped in pastry. It's ideal for a celebration"
1464,main-course,Cod with butter bean colcannon,/recipes/cod-butter-bean-colcannon,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cod-with-butter-bean-colcannon-f67ac97.jpg?quality=90&resize=93,85",Cod with lemon and butter bean mash in bowl,Whip up a budget-friendly fish dinner with creamy butter bean colcannon. It's the perfect midweek meal for two and ready in just 15 minutes
1465,main-course,Massaman curry roast chicken,/recipes/massaman-curry-roast-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-513816_11-15f2552.jpg?quality=90&resize=93,85",Massaman curry roast chicken,A full-flavoured alternative to your usual weekend roast - serve with a big bowl of rice
1466,main-course,Chicken mole with coriander rice,/recipes/chicken-mole-coriander-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1252472_7-e4bc21f.jpg?quality=90&resize=93,85",Chicken mole with coriander rice,"If you're a fan of chilli con carne, you'll love this dark, sweet and spicy South American stew with ancho, ground nuts and chocolate"
1467,main-course,"Prosciutto, kale & butter bean stew",/recipes/prosciutto-kale-butter-bean-stew,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/prosciutto-kale-butter-bean-stew-58b17f5.jpg?quality=90&resize=93,85","Prosciutto, kale & butter bean stew served in bowls","Whip up this healthy stew in just 25 minutes with prosciutto, kale and butter beans. It's a low-calorie, low-fat dinner with three of your 5-a-day"
1468,main-course,Harissa-spiced chicken with bulgur wheat,/recipes/harissa-spiced-chicken-bulgur-wheat,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-5308_12-97d7cdd.jpg?quality=90&resize=93,85",Harissa-spiced chicken with bulgur wheat,This spicy harissa dish will bring vibrant flavours to your table
1469,main-course,Creamy chicken & mango curry,/recipes/creamy-chicken-mango-curry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1159456_11-0822cce.jpg?quality=90&resize=93,85",Creamy chicken & mango curry,"Use korma paste, turmeric and black onion seeds as the base for this mild, Indian spice-pot, made creamy with coconut milk"
1470,main-course,Italian meatloaf,/recipes/italian-meatloaf,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-286459_11-470e156.jpg?quality=90&resize=93,85",Italian meatloaf,"This great-value supper is delicious served with jacket potatoes, green beans and gravy"
1471,main-course,"Mango chicken, bean & rice bake",/recipes/mango-chicken-bean-rice-bake,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1239540_6-5d6a408.jpg?quality=90&resize=93,85","Mango chicken, bean & rice bake","Drumsticks are ideal for an all-in-one traybake - the rice, beans and spicy seasoning make it a little like Caribbean jerk chicken"
1472,main-course,Spiced lamb wraps,/recipes/bombay-lamb-wraps,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/bombay-lamb-wraps-bf0c8c1.jpg?quality=90&resize=93,85",Tortilla wraps with a spiced lamb and vegetable filling,Spice up cheap frozen lamb mince with a fragrant spice mixture and pile onto flour wraps or chapatis for a healthy and filling dinner
1473,main-course,Mushroom wellingtons,/recipes/melty-mushroom-wellingtons,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-441520_11-c6961f5.jpg?quality=90&resize=93,85",Melty mushroom wellingtons,Our melty mushroom and stilton wellingtons are simple to make using shop-bought puff pastry. This smart vegetarian main is perfect for entertaining on winter nights
1474,main-course,Thai chicken & mushroom broth,/recipes/thai-chicken-mushroom-broth,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-488467_11-9b2e34a.jpg?quality=90&resize=93,85",Thai chicken & mushroom broth,An ideal recipe for getting your Thai tastebuds into practice
1475,main-course,Spiced coconut chicken with coriander & lime,/recipes/spiced-coconut-chicken-coriander-lime,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/spiced-coconut-chicken-1815b53.jpg?quality=90&resize=93,85",Spiced coconut chicken with coriander & lime in a casserole dish,"Make this one-pot coconut chicken for an easy and filling midweek meal. If you want to boost the heat, leave the seeds in one of the green chillies"
1476,main-course,Hunter’s chicken,/recipes/hunters-chicken-0,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/hunters_chicken-816fc17.jpg?quality=90&resize=93,85",Hunter's chicken served in slices with vegetables,What could be more comforting than chicken breasts wrapped in bacon with BBQ sauce and cheese? Serve this easy chicken dish with mash or roast potatoes
